#separator:Tab
#html:true
#columns:Frente	Verso	Tags
#tags column:3
Dois entes diferentes cobrando sobre o mesmo fato gerador — como se chama?	<b>Bitributação</b> (<i>bi</i> = duas rodas, dois cobradores).<br>O <b>mesmo</b> ente cobrando duas vezes sobre o mesmo fato é <b>bis in idem</b> (<i>bis</i> = encore, o mesmo artista volta ao palco).<br>O critério é o <b>fato gerador</b>, não a base de cálculo.<br>Cumulatividade é outra coisa: olha a cadeia, não o ente.	direito-tributario::competencia::bitributacao origem::E6 origem::E10 tipo::etiqueta
Senado Federal e alíquotas estaduais: qual é teto, qual é piso, e o que é obrigatório?	<b>ICMS interestaduais</b> → alíquota inteira, <b>obrigatório</b> (art. 155, §2º, IV).<br><b>ICMS internas</b> → mínimas e máximas, <b>facultativo</b> (V, "a" e "b").<br><b>ITCMD → MÁXIMAS</b> (§1º, IV). <b>IPVA → MÍNIMAS</b> (§6º, I).<br><i>Lógica: piso combate guerra fiscal (IPVA — frota emplacada no Estado barato); teto contém a carga (ITCMD — ninguém muda de Estado para morrer).</i>	direito-tributario::icms::aliquotas-senado origem::Q14 tipo::lista alerta::volatil
Competência residual da União — qual instrumento normativo?	<b>Lei complementar, sempre</b> — nas duas modalidades.<br>Imposto residual: art. 154, I.<br>Contribuição de seguridade residual: art. 195, §4º, que manda obedecer ao 154, I e por isso arrasta a LC.<br><i>Regra de ouro: tudo que é residual na União exige lei complementar.</i>	direito-tributario::competencia::residual origem::E11 tipo::conceito
IOF-ouro (ativo financeiro): repartição da arrecadação?	<b>30% Estado/DF/Território</b> de origem, <b>70% Município</b> de origem (art. 153, §5º).<br><i>Contraintuitivo: o Município leva a fatia maior.</i>	direito-tributario::reparticao-receitas::iof-ouro origem::E12 tipo::numero
Quais os três critérios que informam o Imposto de Renda?	<b>GUP</b> — <b>G</b>eneralidade (todas as <b>pessoas</b>, o "quem") · <b>U</b>niversalidade (todas as <b>rendas</b>, o "o quê") · <b>P</b>rogressividade (alíquota cresce com a renda, o "quanto").<br>Art. 153, §2º, I.<br><i>Lista fechada e arbitrária: não há critério gerador.</i>	direito-tributario::ir::criterios origem::Q24 tipo::lista
Transmissão de bem imóvel: ITBI ou ITCMD?	Olhe o <b>objeto e a onerosidade</b>, não o nome.<br><b>Morreu ou ganhou de graça → ITCMD</b>, Estados/DF, art. 155, I, quaisquer bens.<br><b>Comprou vivo → ITBI</b>, Municípios/DF, art. 156, II, só imóveis.<br><i>Palavras-gatilho no enunciado: "inter vivos" e "oneroso" fecham o caso.</i>	direito-tributario::impostos::itbi-itcmd origem::E14 tipo::par
IGF: instrumento e destino da arrecadação?	<b>Lei complementar</b> (art. 153, VII), <b>nunca instituído</b>.<br>A arrecadação compõe o <b>Fundo de Combate e Erradicação da Pobreza</b> (ADCT art. 80, III).<br>É <b>exceção expressa</b> ao art. 167, IV — o ADCT art. 80, §1º afasta a proibição de vincular receita de imposto.	direito-tributario::igf origem::E15 tipo::conceito
Progressivo, proporcional ou regressivo — pelo quê se decide?	Pela alíquota <b>efetiva</b> (imposto pago ÷ base total), nunca pela nominal da tabela.<br><b>Sobe</b> = progressivo · <b>constante</b> = proporcional · <b>cai</b> = regressivo.<br><i>Por isso um tributo de tabela nominalmente progressiva pode ser efetivamente regressivo (defasagem da faixa de isenção).</i>	direito-tributario::progressividade origem::Q27 tipo::conceito
Crédito físico e crédito financeiro: qual tributo adotou cada modelo?	<b>ICMS → crédito FÍSICO</b> (STF, RE 447.470 AgR/PR): credita, como regra, só o que se integra ao produto ou é revendido.<br><b>IBS e CBS → crédito FINANCEIRO</b> (CF, art. 156-A, §1º, VIII; LC 214/2025): credita toda aquisição tributada ligada à atividade econômica, salvo vedação.<br><i>Âncora: no físico o bem tem de entrar no produto; no financeiro basta entrar na empresa.</i>	direito-tributario::reforma-tributaria::nao-cumulatividade origem::T1 tipo::par alerta::volatil
IBS/CBS: quais bens a lei classifica como de uso ou consumo PESSOAL, com crédito vedado?	<b>Bebidas alcoólicas, joias e obras de arte</b>, entre outros definidos na LC 214/2025 (autorizada pela CF, art. 156-A, §1º, VIII).<br><b>Exceção:</b> creditam quando <b>necessários à realização das operações</b> do contribuinte — revenda, industrialização.<br><i>A pergunta não é quem usou o bem, é se ele entra na operação.</i>	direito-tributario::reforma-tributaria::credito-vedacao origem::E16 tipo::lista alerta::volatil
IBS/CBS: o que anula o crédito das operações anteriores — e o que NÃO anula?	<b>Anulam: isenção e imunidade</b> (CF, art. 156-A, §7º, II) — que também não geram crédito para a operação seguinte.<br><b>Não anulam: alíquota zero e alíquota reduzida.</b><br><i>A exportação mantém o crédito por determinação constitucional.</i>	direito-tributario::reforma-tributaria::credito-estorno origem::E16 tipo::par alerta::volatil
IBS/CBS: de que depende a apropriação do crédito pelo adquirente?	Da <b>extinção do débito da etapa anterior</b> (LC 214/2025, art. 47; autorizado pela CF, art. 156-A, §5º, II).<br>Extingue-se por pagamento do fornecedor, compensação, recolhimento pelo adquirente ou <b>split payment</b> na liquidação financeira.<br><i>Não é o pagamento ao fornecedor: é a extinção do tributo.</i>	direito-tributario::reforma-tributaria::credito-condicao origem::E16 tipo::conceito alerta::volatil
Reforma Tributária: quais são as faixas de redução de alíquota do IBS/CBS da tabela da EC 132/23?	<b>Até 100% ou isenção total</b> · <b>100%</b> · <b>100% ou 60%</b> · <b>Isenção ou 60%</b> · <b>60%</b> · <b>30%</b>.<br><i>60% é a faixa mais povoada; 30% tem um item só.</i>	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::lista alerta::volatil
Cesta básica nacional × alimentos destinados ao consumo humano: qual a redução de cada um?	<b>Cesta básica nacional → 100%</b>.<br><b>Alimentos destinados ao consumo humano → 60%</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
